Judul|Pengarang|Favorit
Stay With Me|Merow|599852
Bang Lambe|Alan|2200000
SWEET CHAOS|Fadee~|714607
Knitting Room|SOYOUNG|100000
SEKOTENGS|Lifina|5300000
CAO!|ricepupa|1800000
Their Story|Egimugia|238581
Minus|Egimugia|1500000
Jajan Squad|Dito Satrio|5600000
Mukbang Life|Hong-kki|929372
Teman Rasa Pacar|M.E.A.W|4300000
Pak Guru Inyong|Anggoro Ihank|5600000
ART/STROKE|M.M|547731
JADIKAN AKU YANG PERTAMA!|Various Artists|668807
Kisah Bucin di Sekolah|Alonelymeow|1800000
Kompor|Various Artists|696298
Trio Koplak|Siakae|325777
Smile Brush|WAROO|653131
Si Unis|Rinfan|4700000
Fluffy Tummy|Yachi_chan / Bima Eko Saputra|540068
Libur Telah Tiba|Various Artists|416731
Anti Receh-Receh Couple|LINE Bank|92543
Next Door Country|Mas Aditiya|17800000
Sekar X Popular|Roket Kertas|6600000
Ketupat|Various Artists|100000
31 Ways to Runaway|Various Artists|718923
Bahagia Itu|Angie.W / Huhu|604252
Boyfriends|Angellina|2100000
Smile Brush: My Old Pictures|WAROO|796489
Kolang-Kaling|Various Artists|100000
SENGKLEK FAMILY|Julian Syahputra|376012
Heroine|Various Artists|525092
Kisah Usil Si Juki Kecil|Faza Meonk|2500000
Hari Berarti|Various Artists|859414
Kurma|Various Artists|1600000
Webtoon Ramadhan 2017|Various Artists|1300000
SEHAT-SEHAT, YA!|Various Artists|598853
My Kitty and Old Dog|cho|1700000
Serba Salah|Jennie Liandra|6600000
The Normies|Ais / Si Ona|1600000
Lucunya Hidup Ini|Bang Gaber|4500000
Bad Word Baby|El Nareswara|1600000
Dracko Diary|Indra AD|14100000
Toko Permen Helianthus|fauziapaw|216165
Warung|yupit|6800000
GO-CEK|ADIL / KUSIR|414613
The Second Marriage|Alphatart / HereLee|16300000
Bite Me|sungeun|6200000
Operation: True Love|kkokkalee / Dledumb|3800000
Must Be a Happy Ending|BULSA / Jaerim|9200000
Hello Baby|ENJELICIOUS|77058
Shine on You|ARI|7100000
Beauty in a Click|Ryoung|5700000
CHUBBINESS!|Ivonne Febriani|900256
Purely Roommates|sungeun / FLADA|100000
Mistake|KEVEEEN / Cindy Chwa|14100000
Perfect Marriage Revenge|Jerryball / Yibambe|5300000
Maybe Meant to Be|honeyskein / damcho|3100000
Rumor Has It|Noey|6800000
Only Hope|CHOSNG|899702
Secretary’s Escape|HoneyBong / Solbangul|296353
No Marriage is Perfect|Long.B / CHOI|1600000
My Lucky Strike|bakSSdam|34401
DO AS I SAY!|Xuann|3900000
My Reason to Die|YUJU|2500000
Can I Take It Back?|shinmae|1600000
OTENBA|Dihocchi|1100000
Couple Breaker|KMK / Taegeon|189934
iMarried|Angellina / Takoyaki|13200000
Celebrity Roommate|Tae Soyoung / LEE SEO HEE|2500000
The RUNWAY|Domi / nokdu|1300000
Locked Onto You|Ganga / Jeong Hyejin|373200
I Need a Bride|Park soo jung / Lu Hong|1300000
My Far Too Tumultuous Marriage|FORCE STUDIO / Easy-E|387110
Muse on Fame|SOOJIN|552160
Love Revolution|232|11900000
Is Romance Possible?|Im Jooyi / SONG Jeongwon|175190
Awkward With My Boss|Nam Eun Kyung / TanG|429663
Me and My Professor|KarasuTsubasa / LilyQuali|4400000
Youth of Revelation|HAN SEO|333921
For The Third Time|NARA / Got W|55539
Half Ghost|se jeong|3900000
The Newlywed Guide|MOON NA-YOUNG / Yibambe|189892
Crazy for You|haega / wolgyul|746235
The Remarriage Contract|Seolwoohee / JEJE|1300000
Men of the Harem|Alphatart / HereLee|4200000
How to Tame a Dangerous Husband|duzy / yunson|100000
My Office Rebound Marriage|MIMIK / Lee Dalli|755452
Marriage Revamp|Minjeong Park / so young|279631
Seven Years Later|Tirapuw|3100000
Villain with a Crush|Seyoon|702344
The Guy with Pretty Lips|Godot / Flowbee|673691
The Greatest Table For Two|Hongchi|520680
